,Text
541,'@PreetiSMenon Was it for Gujarat???  Or does he wants to get married?? BJP &amp; Congress are both afraid of AAP’s entry in Gujarat State Politics. https://t.co/ZpUNwpV2z2 https://t.co/pAdTvXHV42'
542,'@stalkfantasy Study.. Apne aap aa jayegi😆😆'
543,'@JAfridi10 Sir jaldhee krho hin ko shru ....aur har Kisi ma aap Ka team Hona chaheyha'
544,'@RiaJhaa @mk_sangeeta Mujhe pta nahi aap konsa biggbos dekha\nUmar funny ke sath gussa bhi krta hai jb ungli katra \nAp bilkul bekaar baat kar rahi hai vah apni journey likha jisko itni torture kia gya aur kabhi mouka bhi nahi dia baat rakhne bas uss torture ka reaction pyar se kaise deta aap btaye has'
545,'@call_me_eemo Kaise ho aap 😂'
546,'@iamjaanhvi Ye ghore pe bathne jesa kyu pose de rhi ho\nAap apne papa ko bolo ki ek ghora dila de'
547,'@lexgood9124 @annbauerwriter @snorman1776 The AAP literally scrubbed studies showing that face time is important to children. They also fought against school openings. They are an embarrassment of an organization.'
548,'@Madhuse99065898 @DalrympleWill Bhaisaab aapka gyan nahi chahye.aapke gyan se kaafi hindu-muslim ho raha hai. Aap log to rehne do. Apna desh sambhal nahi raha
549,'@Paul_maniac Humare feelings ko aap game ka naam maat dijiye... Chale jaye de dijiye kya he kar sakte hai'
550,'@kasishcrossy1 Mast h ji bahut beautiful ho aap follow back karke dm me reply kijiye'
551,'@MogheesA Aap ka tajzia 💯 drust hay.'
552,'@molanoghtegirr kya aap apane maasik dharm ke samay par hain?\nAre You at your menstruation time?'
553,'@Innpeetersgmai1 @auteur_Remo Heb pas de floeren aap leren kennen nu moet je weer dat nieuwe woord vertalen'
554,'I m not hurting you but mere bhai behno aap logo ne sasti education k liye us desh ko choose kiya or unhone aapko bht pyar se rkkha aap medical k students ho aaj wo desh sankat me he unko doctors ki need h or aap log bhaag rhe ho this is not Fair \n\n#OperationGanga'
555,'@ArshadMadani007 India mai jetne madarse hain kia aap unko jald se jald modernise karne ki koshish kariye..har madarse mai Quran aur Islam ki talem ke sath Bcom
556,'The American Academy of Pediatrics #AAP should never be allowed to live this one down. https://t.co/IBRsdt5x7C'
557,'@Hello_nicks @indian_nagrik I am tempted to give a figure myself🤣\n\nPlease give some logic why you think these many seats will be won by AAP in Punjab'
558,'@Unconversant4 @taran_adarsh Chacha aap etane gyani hai
559,'@Aamirsafe123 Sahi kaha AAP NE Bhai Jaan'
560,'@Maahi_shines @its_BhushanSona @i_amTani @Mariyam_Zahra23 @imaryanshi @Samxtweets16 @VM_1110 Wowwww....aap bhi twineee ko twineee bulate ho.....Mera nick name famous ho raha hau🤩🤩😎😎'
561,'@FarooquiJameel sab chorainn Jameel bhaii aap noor check karain chehrayy pay ماشاءالله'
562,'@Alisha_Queen15 @Iffatzia36 Aap kahan se han'
563,'@Paul_maniac Jaane diya aap bhi kya yaad rakhiye gaa'
564,'Ye nam para yor hindu aasall me hindu nhi OBC aaalag hy 100 par sent me ye log pure bharat me sirif 5 se 6 parsent hy baki sab dalit me aate hy aap ko jabardasti hindu banaya gya hy'
565,'@lexgood9124 @The_OtherET @annbauerwriter @snorman1776 The American Academy of Pediatrics #AAP look like an overtly leftist political organization who care more about the advancement of “progressive” policy over the actual care of children’s health
566,'I hv never bought a Chinese gadget bhai log ab toh band kar do aap bhi kitna paisa doge cheen ko?'
567,'@ajay43 Kya bhai aap bhi na itne senti hogaye. Woh toh sabzi ki baat kar rahi thi. Ab isko ticket bhi milegi
568,'@Paul_maniac Bilkul bhi karege bas aap dil se kabhi bulaege to sahi hum us din ka intezar karege'
569,'Rt Dunaya kee tareekh ka sub say burra long march .\nBaheeo aap nay ghubraana nahee hay. https://t.co/QL8xd9dsKS'
570,'Paps asking teja ki kyun rula deti ho aap karan bhai ko😂😂😂😂😂\n\nRULA DETI HAI X TEJRAN'
571,'@ErMammanKhan @cmohry dear CM sahab aapse anurodh hai ki hamare ganv m samajik burai jaise satta jua bahut jayada ho gaya h or hamare bachcho per iska bahut jayada asar ho raha hai aap is per sangyan le or yaha ka parsasan monthly leta h aapse anurodh hai ki aap uper se action le'
572,"Some Aapian's seems very stressed, uncessary intra party arguments &amp; debates being observed,I would request everyone to focus on the goals, rather being individual or party centric, AAP is People centric party &amp; all dialogues should be about Aam public &amp; Corruption free nation.🙏"
573,'@hariompandeyMP neta ji bharat ki economy ki aap logo ne waise hi barbadi kardi hai hamare desh me bukhmari berozgari waise hi bahut zyada hai. war agar hui to aap log k aish me koi kami nahi aaegi aam janta aur barbad ho jaigi.'
574,'@Anjulicious_ @ShristiRawat3 Wo aap karte ho'
575,'@IshaNaumanKhan @azizsyedpti @SeemaRizvi13 @BhavikaKapoor5 India totally open defecation free country hein
576,'Itna Kareeb Aagaye Ho Aap\nAb Dur Jaoge Toh\n\nHum Reh Nhi Payenge\nAap Ke Bina... ❤️🥀'
577,'aap itne pyaare kyun hain ?'
578,'@VoiceOfNabeel @Happyielife44 @Haqeeqat_TV @rabbia_bibi Peyaray bhai agr har kaam imran ne karna hay tm kya karty ho ghar beth kar aram se se zaleel karty pehle khud ko dekho phr bolna aap ka nizam nahi thk is main imran se pehle bhi log thy kya woh bhi imran ne rakhy thy aur hakomten i gai kya sarah gand imran ne 4 saal main kiya'
579,@AnyaGup54873525 @realumarriaz Let's see...\nWaise ek baar Karan nai bhi kiya tha Umar ka song promote but than too aap logo nai song launch wale din Karan ko bahot negative Bola tha coz he didn't posted a story that day..
580,'@Shubhrastha Kya bat hai
581,'@decent__boy__ meri bt naa krein na aap..'
582,'@Paul_maniac Hum apne aap ko itna to jaante he hai aap yaa to manipulate to arth nhi jaante yaa hume..'
583,'@AskAnshul Sirji bas ek aur month hojay
584,'@urwifeeee_ @itx_xiii Aap ne galat suna..'
585,'@Paul_maniac Chale jaane dijiye aap jab dil se hume pukarege hum chale aaege'
586,'@AMISHDEVGAN @_YogendraYadav Bhai sahab.... Aap pappu ke memes bhul gaye 🤪🤪'
587,'@rekha_verma123 @SadhguruJV Aap hi le lo'
588,'InshAllah next jummah mubarik ko aap kaa bhai eid kay jootay chori karay gaa... Wish me luck...'
589,'@auteur_Remo @Elisabe18596303 Ja maar wij bekogelen haar met sjakosh 
590,'@umraojaan_ @Shanaya_tweets2 @roughhard856 Pehle apne aap ko dekh lo Umar fans kya krte hain wo zaida acha hoga'
591,'Boll te he ki ye gallat nabar he usi tarha aap ko ye log bekup bana rakha he socho aap hmare bhii ho hindu sabd koii kitab me nhi sanatan he lekin hundu kio bollte he log isliye ke aap mussall man se aalag rho lekin ham batate he jab se bharat Ka nam hundutan rakha gya usi din'
592,'@ryantrash96 Aa jaayegi
593,'@shafiqulhasan81 Ab kisne tung kardia aap ko 😒'
594,'@somizaneb Aap tou waise bhi Pakistan mai rehti hi isliey hain. India ka wait kar rahi hain 😂😀'
595,Mahozariyan - Ep 58 | #LahoreQalandars | Pakistani Students in #Ukraine ... https://t.co/NQEeBZO3w4 via @YouTube \n''idhr se khabar ayi nahi hogi aor hum ne aap ko de deni''
596,'@mausamii2u Mausami ji aap jaise kuch logo ke dum pat patrakarita zinda hai . Warna aap behtar janti ho aajkal ke halat . Pratrakar ke roop mai kitne dalaal ghum rahe hai .. aapke aas pass'
597,'@mohbhangpiya Baad main 100 marks dena pehle batao CH me kyu nai ho aap'
598,'@NareshGhubaya1 @AnmolGaganMann @AMITVICKY6 @Jaskaran_S_AAP @VikramAapKa @rajlali @babbaranu @MANDEEPKAURRAM1 @maninder811 @msisodia @raghav_chadha Good morning ♥️'
599,'@AamAadmiParty हे भगवान
600,'@sonali7780 Aap di pahle bhi jayada sexy ho gayi hai'
601,'@NareshGhubaya1 @AnmolGaganMann @AMITVICKY6 @Jaskaran_S_AAP @VikramAapKa @rajlali @babbaranu @MANDEEPKAURRAM1 @maninder811 @msisodia @raghav_chadha Hi'
602,'@Paul_maniac Isliye hum kahe the aap hume nhi jante abhi'
603,'@Lucknowie Aap name?'
604,'@MarinaMI_24 @erinvholland Goron k jaisa dikhty dikhty apna aap bhool jana lannat with Alot of Zoooom west k kuty nehlany walo'
605,'@PabloExKoMar Flower nhi pura guldaan hein aap'
606,'AAP sebelum pelaksanaan patroli malam Satlantas Polres 50 Kota\n#JagaKamtibmas\n#PatroliBlueLight\n@ditpoldasumbar @roadsafetymedia @Rasirosa_Lantas https://t.co/Hvt0nltMXr'
607,'@Paul_maniac Humko aap bulana he nhi chahte dil to humara dukha hai par chalta h'
608,'@Anitadinesh2 @abhisar_sharma Madam 
609,'@realrazidada @anis_farooqui Aap tou gajar ke saath bhi khilwar kartay ho
610,'@stalkfantasy Bahut galat kiya aapke sath ...aap unse  bat mat karna 2-4 din ....\n\nRULA DETI HAI POSTER OUT'
611,'@ajitanjum Jaise aap chatne aa jate h... ye Canada ki photo h'
612,@aap_ki_khushbu I'm single because I wanna be a model for the day
613,'@alltimelazyy Mahir logon say thaa... Aap nay bich may kyun taang arrai... Abh presentation dain...'
614,'@Paul_maniac Me manipulate nhi hoge itne din me aap itna bhi nhi jaan pae'
615,'@rajasthanroyals Dear Sir/Mam
616,'@ashajadeja325 @raghav355 Aap late ho\n\n@jsaideepak has been fighting this case in Supreme Court'
617,'@arfanahmed007 @iAnumSheikh @SdqJaan aap meri lelein likin ek khat dedein'
618,'@MeharunissaKhan shippers nhi aap nhi thi isiliye koi million nhi kar paya 🙂.\niske phle #KKundrraSquad𓃵  ne kha trend kiya hai ? https://t.co/dgvBagDWYH'
619,'@Komal_khan08 @1_Raani Aap ko bhee 😆😆😆'
620,'@DrTanuJain1 mam aap drdo me posted ho kya????'
621,'@ImranARaja1 Sir Ji
622,'@walaitee @Thealizaa Aap adat daikh lain ma surf kaa kuch kar laita hon...'
623,'Hundu ki kitab me likha he ke bhagwan ki koii Murti nhi firbhi yelog murti bana te he yor us ki puja karte he yor aap ko aapne mandill me ghusne bhi nhi dete aagar chale jayo to ye log us ko dhol wate he aap jab fun lga te ho to rait nabar lgana hota he aagar ron nabar lagya to'
624,'@priyankac19 @MEAIndia @IndiainUkraine @IndiainPoland @eoiromania @AmbShrivastava Tum kya badi Amma ban rhi ho ... govt apne aap dekh legi .'
625,trying hard to convince me.. that its my location.. but how it could be.. jab aap waha gaye hi nahi ho to.. woh location kese show hoga?? it's that simple.. that some was using my aacount.. to trap .. random people.. https://t.co/4HyXzXdYNM
626,'@sumit_k_nayak @Rt5485 @AamAadmiParty @AAPUttarPradesh keep it safely'
627,'@Umarfanpage45 Yaar aap khud bhi Umar Army se hona?'
628,'@MalikSaheb786 @queen_nikitha @Sandhya77376812 @PriyaHslut @BimboRani @sinnersdiaries @monakimonali @ShivangiEcstasy @Shia_____Shammo @shraddasahuu @shraddhakaur13 @browney143 @Sinful_Kinks @kamukSheetal @ms_atittude Main aap se naraz hun'
629,'@ArvindKejriwal  @AamAadmiParty @BJP4India @Akali_Dal_ @INCIndia \nStop killing men https://t.co/junQBVhqbx'
630,'@iamboyaman Mat do hopes apne aap ko'
631,'@sid_caps @getprawned Ali meri behn ko kuch na kahen aap!'
632,'Mera mann hai ki ab Aap aa jaae UP me☺☺☺☺ https://t.co/aq4gi5EVom'
633,'@srcsmic_enginer To kya unhe apne aap ko maarne de🤨🤔'
634,'@goodmen761 Dil phatwaogay aap'
635,'@Surendervarma10 @myogiadityanath Aap ke vishwas ki  sarahna karti hu lekin maths h. . 8000 crores ..aaj k neta koi bhi figure fekte h ..ye sirf UP ki baat nahi h .. ye paise aate taxpayers se hi n jaate bhi unhise  .. kyu lagne chahiye itne kisi ne ganit kiya. . janta jawab nai maang sakti n neta jawab nai dete'
636,'Mark this tweet\n\nAAP is not just winning Punjab
637,'@AMISHDEVGAN Tabhi to aap jaise log hum gareebo ka paisa kha ke apne bachcho ko dusre deshon me padne k liye bhejte ho'
638,'@Hon3yYb Bro ye aap k alfaz hain?'
639,'@Alam_Strikes ASTAGHFAAR.... Toubah.... She was saying keh  5 bhaijo sab ko...\nMein may kaha chukkain aap yeh...'
640,'@siddhant900 aap guarantee dijiye unko govt colleges main admission deyney kay liye'
641,'@ssrajputINC @RaisMomin1981 Ye aapki ghatiya soch hia jb vo akela hia Jang lard rha hia vha k log mar rhe hia aap log Putin ka sath de rhe ho shyad aapne pm to mhoo se ek sabd bi nahi bole un ka to koi satnd bi nahi hia'
642,'@MonaAmbegaonkar @narendramodi Please don’t mind her she has been paid for all this
643,'@sanskarikomal Hi bhabhi aap ho hi itni sundar kese koi rok paye khud ko  ghuurne se follow back karke dm me aao sex chat karte hai'
644,'@_patatesH Good. Aap kaise ho?'
645,'@msfarooqui79 @pagalfalsafi @Shine_Stine @SumoRizvi Salman bhai allah aap ko khush rakhe zindagi de sehat de aur hamaray tamam bhaiyo @SumoRizvi @Shine_Stine @pagalfalsafi ko aur tamam sathiyo ko salamat rakhe... Ameen'
646,'@DeepakK70597296 pvt hospitals vale dhamka rhe video vagarah na daalo....\n\nplus govt ke bas ka kuch nahi hai abhi in short...hawa hawai claims me hi khush rahe ye AAP ke Chuzey...'
647,'@getprawned @sid_caps Acha royen na aap 🤭'
648,@Aap_Janaab That's great!
649,'Behenji aap bhi to chunav lado why should boys have all the fun? Kuch aap bhi toh maje karva lo https://t.co/pVq2uKgIf9'
650,@walaitee Nahi'n nahi'n.... Yeh rakh lain ab aap... 😂😂😂....
651,'@pbhabhi277 @ADITIMEENA1743 @pbhabhi277 pyari Bhabhi ji aap ese kyu dikha rhi he fir https://t.co/4bMfc12lGk'
652,'@FakhrEA89289895 @Kartik_9512 @GautamGambhir Ha pata hain aap UNO aur google se jyada padhe likhe ho. Pehle gareebi ki bare me socho fir humse military power compare karna. 5.5Trillion military budget se 10M waise bhi compare nahi hota.'
653,'@NitinRaut_INC Sir pahle aap nagpur ka to vikas kijiye aur worker logo se mil kar unlogo ki takleef ko samajhye'
654,'@Paul_maniac Hum koi odd one out thodi khel rhe aap humko sabme gin k he de dijiye paise'
655,'@yourownnoob aap kehti hain tou chale maan lete hain😔🙏'
656,'Aap humare jaan ban gaye'
657,'@indian_nagrik @Bad_________Man @teamrrg @imfulara @DubariyaUmesh @ArvindKejriwal Hume dusri partiyo ke bahut attacks jhelne padte h
658,'@AlifNoon__ @DefenderOfPaki6 @Dr_YasminRashid @PTIofficial @ImranKhanPTI @fawadchaudhry @GovtofPakistan Aap jahan rehtay hein wo area cover hai?'
659,'@alltimelazyy Aap say isi mashwaray ki ummeed thi...'
660,'@iqrarulhassan Phir aap multan support kry'
661,'Jag rhe hain kya Mama ji ?\nBhanje Pareshan hain aapke aur aap So rhe hain ? \n@ChouhanShivraj'
662,'Aap jaise anpad satta par bethe hai to sarkar girni hi chyie bhajpa ki 
663,'Acha aap sabhi pyare handsome  ldko or khubsoorat ldkiyo ko batana chahungi ki agr #LockUpp  show ke contestants  ko support  krte waqt agr hum sab same favour main naa hue toh ek dusre ko gaaliya😅 mtt dijiyega together  hum sab saath saath h for #UmarArmy &amp; #AsimSquad \n🙃❤❤🙌'
664,'@ayushkumar78588 aap mera replies ka under bhi tha tab ma na apko nae bulaya tha'
665,'@NareshGhubaya1 @AnmolGaganMann @AMITVICKY6 @Jaskaran_S_AAP @VikramAapKa @rajlali @babbaranu @MANDEEPKAURRAM1 @maninder811 @msisodia @raghav_chadha Good morning queen'
666,@parveen_asifa Allah aap ki beti ko jald shifa day aur aap ko sakoon de. Insha'Allah Ameen.
667,'@sanskarikomal Bra to nai pahni ho or khada to aap ki nigah padte hiho jata h'
668,'@LITHASAN_ aap karlou'
669,'@AamAadmiParty वाह इतनी महान बड़ी राशि जैसे केजरीवालजी अपने पार्टी फंड से देते है।'
670,'@Real_isRare_ Nahi sirf troll hi karta hu mai to 😬😬😬 Apne aap hi ho jata hai mai jabki trolling ke intention se convo ni start krta 😒'
671,'@manoj4justice @ANI Yun gyan ka raita na phailao sahab!! Aap ki itni aukat aur hesiyat hoti to aap bhi PM hote!!'
672,'@RealArnab_ Ha aap log to phale sai he Santi nai chatai'
673,'@nayab_ki_duniya Aiwaah Habibti😍\nMohtarma ma thk hun aap sunaey itney din kider thi 👀❓'
674,'@skrenata Ye bhi aap ki hi Tarah k bhai ne likh k dia tha ... 🤗'
675,'@FakhrEA89289895 @Kartik_9512 @GautamGambhir Agar innocent pyari hain toh har bade bade terrorists groups ka janam Pakistan me hi kyon hota hain? Aap logo ke school me hi kitne masoom ke jaan le liye fir bhi unlogo ko support kyo?'
676,'@indian_nagrik @Bad_________Man @teamrrg @imfulara @DubariyaUmesh @ArvindKejriwal just as @indian_nagrik said ..Ye party kissi ke Baap ka nhi h ...we have been there with the party since the beginning .. Humne bahut jagde kiye hue h apne saare dostho se AAP ke liye ..and its purely selfless service..\n2/3'
677,'@desimojito Bade hi international client ko deto ho aap apni....'
678,'@Ravalkalpesh_s Desh me aap jaise hy aur chiye..'
679,'@em_ravail Awaz to bht pyari hai ...kitny din se nhi suni aap me??😐'
680,'@iam_WardaKazmi Aap ka Bhai ka ??'
681,'@diyaaazeem Arey aap se tou rude Hoya hee Nahi jata \nSeedha pyaar'
682,'@LeCielNestVert I didn\'t read the article
683,'@elfugaming Muje nahi pata tha aap kuch or Chizz Ke bare me bol rahe ho'
684,'@abro_sapna @BilalAhmedPPP Intazar intazar intazar hai bas \nAajzi or rehmo karam per aap k phir bhi ghamand sunne ko milay to a c zindagi ka kiya faida 😞'
685,'@KhanMobeena Aap ko Bhe sis'
686,'Agar hum na hote to ghazal kaun kehta
687,'@IamAsimRiaz3 @UmsimLove5 Aap kevin ko support kr re the bhaii ?'
688,'@urubanasir @wajahatmasood Bibi woh scholar Hein . AAP ki aur hmari Sb ki bud qismati Kia kya jaye ?'
689,'@Tejasvi_Surya Aao BJP chor do aap already destroy kar chuke ho apneaap ko respect khi chuke ho.'
690,'@TonyKakkar Bas sab badhiyan ji aap batao oye mainu na aap bare sone lagte😘😘 ho ji sachi🤗🤗'
691,'@TonyKakkar Only #Tejran...aaoo aap bhi part lelo trend me \n\nRULA DETI HAI X TEJRAN'
692,'Agar hum aansu hote to\naapki aankho se girkar marna pasand karte
693,'चुनाव आते ही नेता जनता जनार्दन को तेल लगाने पहुँच गए.. 🤓 हर नेता का यही हाल है भाई.\n@BJP4India @INCIndia \n@AamAadmiParty https://t.co/MR4nQoYuAd'
694,'@cmohry dear CM sahab aapse anurodh hai ki hamare ganv m samajik burai jaise satta jua bahut jayada ho gaya h or hamare bachcho per iska bahut jayada asar ho raha hai aap is per sangyan le or yaha ka parsasan monthly leta h aapse anurodh hai ki aap uper se action le dhanyawad'
695,'@imok_01IND @Sagar_Universe1 @Priyans_17 Bhaiya ji maa chod diye aap toh !! Ideal reply.'
696,'@Nargisazeez 18 ki ho gyi aap 😂😂'
697,'@Vikramsingh_180 @aamil123 @Super_Girl_03 @ShoaibAhmad92 @_Somi_Faiza @KaliwalYam @Phaki_75 @GhazalaQuresh14 @Tauqir599 @RajputFarishty @Memo73664354 vikram bhai aap bhi apni ami aur baji ko ye bol k so jaate ho? please agli baar se jaagte rehna nhi to pakistani aajaenge'
698,'@dusky_bae @itss_si_a Ye time pe kya kha rahe ho. Is liye itne mote hote ja rahe ho aap. Lekin cute ho'
699,'@HoodaOnFire @BCCI @ShreyasIyer15 aap ko toh NPA bana rhe😭'
700,'@iamcheeky How drunk are you ?? 😯\nQuestion bhi theek se nahi padhte hai aap 😩'
701,'@Sonalify Hum toh yahin hai… bas aap ki nazar mein nahi aa rahein aajkal'
702,'Aapse Dur Bhala Hum Kaise Reh Paate
703,'Aap se dur ho kar hum jayenge kaha
704,'@JoeBuddau @rupen_chowdhury @HairyPoppins786 @Hossain97322311 @Brownlady01 @Radha28874 @KartikJain1999 @RajKevalya @DevtaToofanka @_desi_tarzan @sowmiyasid @Chaytyak @GaneshI92893558 @SachiMahapatra @mishra_vaibhav_ @el_hanji @idevroy2001 @Rajkumarchindha @mrvikaspandey @KaffirBaba @Megatron9091 @LimitedeenTime @RAJAT83INDIAN @0_Shunya_0 @DevilsClaw18 @Maddy_Pianist @Thepprofessor @E_GorIlI_Athena @Ruuu_Dra @b_beautaa @Johny_mera_name @Yogi_BhaktUP @BilluPsycho @slb_cool @NationalistStan @Pkckmkb @_rainbowglowing Joe Bhai
705,'Aap beeti har kisi ko bataya na karo
706,'@AHindinews apne muh miya mithu banna suna tha par ye banda apne aap ko apne logo ko ke samne gali de rha hai'
707,'@Sunitkrsrivasta @vinodkapri @narendramodi @rshdrizwan Sir bahut respect karti huin aapki par ye jyada ho raha hai
708,'@VohraAlam @AaqaSAWWkiBaten Ap Sy Aik guzarish hai..Ap bat ko Boht samjty hain na ?  Aik bar Aap HAZRAT MUHAMMAT (S.A.W.W) Ki Mubarak Zindagi Parh k dekh lijiyee.. Aap Ko tamam jawab mil jaye gye'
709,@Vishalkkotian Apne AAP ko please Kutta maat bolo... Hathi toh chal Raha hai YouTube pe AUR Kuch Kutta bhok Raha hai yaha.... Ab Kya kare in... Don't worry.... Kutta TOH sala humesha Kutta hi rehega....
710,'Trophy Sultans ki ho ya Qalandars ki
711,'@Paul_maniac Katae jhoote aap 🚶🚶'
712,'@OfficialxNehu Aapke sath date pe jane ka. Agar aap ha kaho to'
713,'@ShristiRawat3 Aap ho jaag rahi ho bas'
714,'@ChrysalisAurora Allah Aap k walida ke darjat buland karain. Ameen summa Ameen'
715,'Itna Kareeb Aagaye Ho Aap\nAb Dur Jaoge Toh\n\nHum Reh Nhi Payenge\nAap Ke Bina... ❤️🥀'
716,'@_Mishi_A madam g meine kuch nahi kiya bas aap se mohabbat ki hai'
717,'@AamAadmiParty https://t.co/Ar3fSvP6mi'
718,'@drdwivedisatish Satish Dwivedi ji mai aapke liye pray karta hu apne prabhu ji se aap vijay ho 🙏'
719,'@thisisbhumika Dil cheez kya h aap mera one side ♥️ le lijiye \nKm se km mn to lagega padhne me doobara'
720,'109.シャワーを浴びる\u3000อาบน้ำ  àap náam\n【単語】\n・浴びる\u3000อาบ\n・水\u3000น้ำ\n\n【+α】\n・水圧が弱い น้ำไหลน้อย   náam lǎi nɔ́ɔi\n・(液体等が)\xa0流れる\u3000ไหล\u3000lǎi\n・少ない น้อย nɔ́ɔi\n\n#パッタイ家 #タイ語'
721,'@Mahi_kehti_hai Sojaye aap🌚'
722,'@Aap_Janaab They ask you to make what?'
723,'Yogiji aap hii ayenge bt youths k bare me sochye thoda #UPSI scams ka kuch kare ye aur super TET 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏 https://t.co/7DOCz85jaN'
724,'...aur Iss Navyug ki Shri Ramayana ji ko dekh rahi Audience mein baithe Aap Sab ke Sab Aap Saare ke Saare Aap ek ek aur Aap har ek Viewers ko... (29/n)'
725,'@PixieReader Sure aap paisy bhejen main khilaati hun😂😂😂'
726,"Aap bhi mahilaon ki takleef kya samjhegi ,Do din chunav main aakar likhe likhae bhashan padne  se kuch nhi hota,the women who always remains egoistic,don't know what to say,bhagwan shree Ram thodi buddhi aur thodi samjh de aapko @samajwadiparty https://t.co/DcP9J2OFwY"
727,'@PALLABIHALDER22 @shrastytomar @Khushi_IPZN @Parakshita_hope @sunshinesoulx_ @IllusionsOfZ_ aapka favorite emoji🙄🙄\naagaye aap lab se🌝🌚'
728,'@LitHustle @AhmedHimsxlf @rabiaaaxx he supports karachi aap na latako'
729,'@Paul_maniac Hum 2 line se ek para tak gye aur 1 word pe aagye aap itna kase badal gye'
730,'Aap mera dil le lo 🥰'
731,'Ek hi dil hai #UmarRiaz kitne baar jeetoge aap? \n#UmRash https://t.co/7NFtB0mECL'
732,@Rasshiii121_ beta aap 5'4 nahi aap bemaar ho ! par tumri bhi kya galti...
733,'RT @drabhijitmore: AAP will contest on all seats in the upcoming @PMCPune election.\n\n#AAP_Pune_Movement #पुणे_महानगरपालिका https://t.co/hJJXq6mKxO'
734,'@pb23wale1919 Oh ta aap jnanni aa gay  bare  ta pta hona sabnu'
735,'@HeyItsAtif Aap bhi to nai krty na'
736,'@SaeedKhalil75 @wajahatmasood Sir mere khyal mein aap google pr search karen . Sir agr google pe na mile tu phir APNA question ⁉️ dekh lein .'
737,"@Aap_Janaab Well, that's sad."
738,'@yourownnoob koi baat nahi
739,'@TanteBeby Vc aap'
740,'@Nishantchant Okay ab aap ja sakte hai \U0001f972'
741,'@vxmxpxxx Kash aap meray walid hotay  😍😍😍🙋\u200d♂️🙋\u200d♂️🙋\u200d♂️'
742,'@Dr_ZehraJafferi Sahi kaha aap nay 😜💕😍'
743,'@Miss_Royy Aap aaj bhi nahi soye👀'
744,'Uk this is the reason we all loves u a  lot..this qualities of urs make u special for everyone🤗\nThank u also for showing your shoes collection.\nok me aa rahi hu lene..Ik thode bade honge mujhe but i can manage but @Beatking_Sumedh KYA AAP DOGE ??🤭👀\n(+4)\n#SMVlogs\n#WePlayCricket'
745,'@Royal123007 @MantukINC maaz ji maaf kijiyega mein ne 3/4 bar  aap ko quote kiya per maaz ke badle naaz likha.mein catract ka rogi hoon.'
746,'@TanteBeby Vc aap'
747,'@rupen_chowdhury @HairyPoppins786 @Hossain97322311 @Brownlady01 @Radha28874 @KartikJain1999 @RajKevalya @DevtaToofanka @_desi_tarzan @sowmiyasid @Chaytyak @GaneshI92893558 @SachiMahapatra @mishra_vaibhav_ @el_hanji @idevroy2001 @Rajkumarchindha @mrvikaspandey @KaffirBaba @Megatron9091 @LimitedeenTime @RAJAT83INDIAN @0_Shunya_0 @DevilsClaw18 @Maddy_Pianist @Thepprofessor @Ollahdeen @E_GorIlI_Athena @Ruuu_Dra @b_beautaa @Johny_mera_name @Yogi_BhaktUP @BilluPsycho @slb_cool @NationalistStan @Pkckmkb @_rainbowglowing Yeah.. inhi logon ki vajah se to python code likhaa mai ne. Ye apne aap ko shaana samajhte hain mai bhi dedh shaana phir.'
748,'@sakshijoshii Is m b problem  h aap ko .......murkh'
749,'@simrayousuf aap ko bhi kya pasand aaya hai
750,'@AnitaBaiga Sona hai kya aap ny?'
751,'@OfficeOfAdeshG Sach Mein hi\nModi Jaisa koi na ho \nBhagwan na kre mere desh ko koi bhi aisa neta mile jo aap bhi dube janta ko bhi le dube'
752,@AAPNareshBalyan That'swhy aap has choosen a clown for cm candidate a person who cleared 12 in many times and by the way look at what I found https://t.co/BbPzefycJQ
753,'@unfunyguy Aap to handsome ho gujju bhai 😓\nMain to 10 minutes ke liye hi lga sakta hu idher followers bhag jayenge 😹'
754,'@BlueandGrey27 Or aap meri fav🥰🥰'
755,'@zoo_bear Naam me kya rakha h aap ye dekhiye kitna liberal Aadmi h.'
756,'@cutieepiee999 Hn Aap ki enjoy ka din hai 😁'
757,'MCD me bhi AAP . “BJP ko to galiyan padegi”! https://t.co/jsB87SnIWi'
758,'@riya__rathore Kal se \nAur aap tameez me baat karo'
759,'@AamAadmiParty Kiya ye sab rupaye kejriwal jee ke ghar se diya hay??\nYah muft khori ki bate desh ki janta ko aalsi our kamjor bana degi'
760,'@SaysNisa @IzzahShyk bohat nat khat hen aap bhe 😔'
761,'Hone pr ek madan kumar chaudhary ji ke wife ka parsh jisme 2 mo. Tha jiska no.8292916839 aur dusra no.8294097779.aur 2000rupya aur ghna lekar bhag gya .kripya aapse se gujarish h aap inkaa help kre'
762,'Aaj sab se pehly aap K bhai ne tweets kar K sheet bhi update kar di hei..😌😎'
763,'@iamshafaatali Precious 😂\nKoh-e-noor hain Jee aap log'
